problem,num_qubits,density,seed,fraction,gs,fes,gap
maxcut,7,0.9,777,0.2,-7.2426,-5.8312,1.4114
maxcut,7,0.9,777,0.3,-7.4001,-6.275,1.1251
maxcut,7,0.9,777,0.4,-7.5884,-6.7435,0.8449
maxcut,7,0.9,777,0.5,-7.8181,-7.2443,0.5738
maxcut,7,0.9,777,0.6,-8.111,-7.7895,0.3215
maxcut,7,0.9,777,0.7,-8.5176,-8.4003,0.1173
maxcut,7,0.9,777,0.8,-9.1299,-9.1134,0.0165
maxcut,7,0.9,777,0.9,-9.9751,-9.9747,0.0004
maxcut,7,0.9,777,1.0,-11.0,-10.0,1.0
maxcut,7,1.0,777,0.0,-7.0,-5.0,2.0
maxcut,7,1.0,777,0.1,-7.3628,-5.6064,1.7564
maxcut,7,1.0,777,0.2,-7.7503,-6.2263,1.524
maxcut,7,1.0,777,0.3,-8.1617,-6.8609,1.3008
maxcut,7,1.0,777,0.4,-8.597,-7.5116,1.0854
maxcut,7,1.0,777,0.5,-9.0575,-8.1805,0.877
maxcut,7,1.0,777,0.6,-9.5461,-8.8708,0.6753
maxcut,7,1.0,777,0.7,-10.0684,-9.5875,0.4809
maxcut,7,1.0,777,0.8,-10.6351,-10.339,0.2961
maxcut,7,1.0,777,0.9,-11.2668,-11.1376,0.1292
maxcut,7,1.0,777,1.0,-12.0,-10.0,2.0
maxcut,8,0.5,777,0.0,-8.0,-6.0,2.0
maxcut,8,0.5,777,0.1,-7.808,-6.106,1.702
maxcut,8,0.5,777,0.2,-7.6345,-6.226,1.4085
maxcut,8,0.5,777,0.3,-7.4845,-6.3641,1.1204
maxcut,8,0.5,777,0.4,-7.366,-6.5262,0.8398
maxcut,8,0.5,777,0.5,-7.293,-6.7219,0.5711
maxcut,8,0.5,777,0.6,-7.2921,-6.9671,0.325
maxcut,8,0.5,777,0.7,-7.4167,-7.288,0.1287
maxcut,8,0.5,777,0.8,-7.7454,-7.7217,0.0237
maxcut,8,0.5,777,0.9,-8.2966,-8.2957,0.0009
maxcut,8,0.5,777,1.0,-9.0,-8.0,1.0
maxcut,8,0.6,777,0.0,-8.0,-6.0,2.0
maxcut,8,0.6,777,0.1,-7.9094,-6.2185,1.6909
maxcut,8,0.6,777,0.2,-7.8403,-6.454,1.3863
maxcut,8,0.6,777,0.3,-7.7991,-6.7107,1.0884
maxcut,8,0.6,777,0.4,-7.7956,-6.9944,0.8012
maxcut,8,0.6,777,0.5,-7.8465,-7.3131,0.5334
maxcut,8,0.6,777,0.6,-7.9806,-7.678,0.3026
maxcut,8,0.6,777,0.7,-8.2391,-8.1052,0.1339
maxcut,8,0.6,777,0.8,-8.6587,-8.6182,0.0405
maxcut,8,0.6,777,0.9,-9.2527,-9.2479,0.0048
maxcut,8,0.6,777,1.0,-10.0,-9.0,1.0
maxcut,8,0.7,777,0.0,-8.0,-6.0,2.0
maxcut,8,0.7,777,0.1,-8.1116,-6.4195,1.6921
maxcut,8,0.7,777,0.2,-8.2485,-6.8596,1.3889
maxcut,8,0.7,777,0.3,-8.415,-7.3254,1.0896
maxcut,8,0.7,777,0.4,-8.6195,-7.8246,0.7949
maxcut,8,0.7,777,0.5,-8.8782,-8.3706,0.5076
maxcut,8,0.7,777,0.6,-9.2289,-8.9871,0.2418
maxcut,8,0.7,777,0.7,-9.7721,-9.721,0.0511
maxcut,8,0.7,777,0.8,-10.642,-10.6402,0.0018
maxcut,8,0.7,777,0.9,-11.7522,-11.0039,0.7483
maxcut,8,0.7,777,1.0,-13.0,-12.0,1.0
maxcut,8,0.8,777,0.0,-8.0,-6.0,2.0
maxcut,8,0.8,777,0.1,-8.2127,-6.5093,1.7034
maxcut,8,0.8,777,0.2,-8.4521,-7.0391,1.413
maxcut,8,0.8,777,0.3,-8.7215,-7.5925,1.129
maxcut,8,0.8,777,0.4,-9.0269,-8.1747,0.8522
maxcut,8,0.8,777,0.5,-9.3796,-8.7937,0.5859
maxcut,8,0.8,777,0.6,-9.8023,-9.4621,0.3402
maxcut,8,0.8,777,0.7,-10.3407,-10.1994,0.1413
maxcut,8,0.8,777,0.8,-11.0612,-11.0288,0.0324
maxcut,8,0.8,777,0.9,-11.9678,-11.9644,0.0034
maxcut,8,0.8,777,1.0,-13.0,-12.0,1.0
maxcut,8,0.9,777,0.0,-8.0,-6.0,2.0
maxcut,8,0.9,777,0.1,-8.3644,-6.6694,1.695
maxcut,8,0.9,777,0.2,-8.758,-7.3623,1.3957
maxcut,8,0.9,777,0.3,-9.1831,-8.0817,1.1014
maxcut,8,0.9,777,0.4,-9.6453,-8.8331,0.8122
maxcut,8,0.9,777,0.5,-10.1568,-9.6257,0.5311
maxcut,8,0.9,777,0.6,-10.7461,-10.4762,0.2699
maxcut,8,0.9,777,0.7,-11.4883,-11.4146,0.0737
maxcut,8,0.9,777,0.8,-12.4863,-12.4805,0.0058
maxcut,8,0.9,777,0.9,-13.6856,-13.6855,0.0001
maxcut,8,0.9,777,1.0,-15.0,-14.0,1.0
maxcut,8,1.0,777,0.0,-8.0,-6.0,2.0
maxcut,8,1.0,777,0.1,-8.6167,-6.8594,1.7573
maxcut,8,1.0,777,0.2,-9.2643,-7.7376,1.5267
