problem,num_qubits,geometric_index,seed,fraction,gs,fes,gap
track reconstruction,10,38,12345,0.3,-7.2383,-6.1026,1.1357
track reconstruction,10,38,12345,0.4,-6.5004,-5.7379,0.7625
track reconstruction,10,38,12345,0.5,-5.9664,-5.5702,0.3962
track reconstruction,10,38,12345,0.6,-5.7896,-5.6367,0.1529
track reconstruction,10,38,12345,0.7,-6.042,-5.958,0.084
track reconstruction,10,38,12345,0.8,-6.5632,-6.4597,0.1035
track reconstruction,10,38,12345,0.9,-7.183,-7.0614,0.1216
track reconstruction,10,38,12345,1.0,-7.8505,-7.7146,0.1359
track reconstruction,6,39,12345,0.0,-6.0,-4.0,2.0
track reconstruction,6,39,12345,0.1,-5.4089,-3.6695,1.7394
track reconstruction,6,39,12345,0.2,-4.8396,-3.3722,1.4674
track reconstruction,6,39,12345,0.3,-4.3023,-3.1277,1.1746
track reconstruction,6,39,12345,0.4,-3.8189,-2.9588,0.8601
track reconstruction,6,39,12345,0.5,-3.4434,-2.8715,0.5719
track reconstruction,6,39,12345,0.6,-3.2856,-2.8404,0.4452
track reconstruction,6,39,12345,0.7,-3.3803,-2.9123,0.468
track reconstruction,6,39,12345,0.8,-3.6355,-3.1343,0.5012
track reconstruction,6,39,12345,0.9,-3.9878,-3.4476,0.5402
track reconstruction,6,39,12345,1.0,-4.4035,-3.8102,0.5933
track reconstruction,14,43,12345,0.0,-14.0,-12.0,2.0
track reconstruction,14,43,12345,0.1,-12.6016,-10.8388,1.7628
track reconstruction,14,43,12345,0.2,-11.2072,-9.68,1.5272
track reconstruction,14,43,12345,0.3,-9.8186,-8.5245,1.2941
track reconstruction,14,43,12345,0.4,-8.4384,-7.374,1.0644
track reconstruction,14,43,12345,0.5,-7.072,-6.2316,0.8404
track reconstruction,14,43,12345,0.6,-5.7295,-5.1053,0.6242
track reconstruction,14,43,12345,0.7,-4.4348,-4.0198,0.415
track reconstruction,14,43,12345,0.8,-3.2517,-3.0436,0.2081
track reconstruction,14,43,12345,0.9,-2.4352,-2.2858,0.1494
track reconstruction,14,43,12345,1.0,-1.9697,-1.8028,0.1669
track reconstruction,16,46,12345,0.0,-16.0,-14.0,2.0
track reconstruction,16,46,12345,0.1,-14.4196,-12.704,1.7156
track reconstruction,16,46,12345,0.2,-12.888,-11.4587,1.4293
track reconstruction,16,46,12345,0.3,-11.429,-10.3031,1.1259
track reconstruction,16,46,12345,0.4,-10.0927,-9.3087,0.784
track reconstruction,16,46,12345,0.5,-9.0133,-8.5948,0.4185
track reconstruction,16,46,12345,0.6,-8.7709,-8.6613,0.1096
track reconstruction,16,46,12345,0.7,-9.5184,-9.409,0.1094
track reconstruction,16,46,12345,0.8,-10.4404,-10.3078,0.1326
track reconstruction,16,46,12345,0.9,-11.4305,-11.2763,0.1542
track reconstruction,16,46,12345,1.0,-12.4611,-12.2882,0.1729
